"REG_ID","Region","ORIGIN","Place of birth","VAR","Indicator","TIME","Year","Value","Flag Codes","Flags"
"BE1","Brussels Capital Region","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",25.7,,
"BE1","Brussels Capital Region","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",35.5,,
"BE1","Brussels Capital Region","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",20.9,,
"BE2","Flemish Region","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",9.9,,
"BE2","Flemish Region","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",4.3,,
"BE2","Flemish Region","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",5.6,,
"BE2","Flemish Region","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",27.4,,
"BE2","Flemish Region","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",12.5,,
"BE3","Wallonia","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",13.4,,
"BE3","Wallonia","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",7.8,,
"BE3","Wallonia","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",5.7,,
"BE3","Wallonia","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",28,,
"BE3","Wallonia","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",19.6,,
"DEB","Rhineland-Palatinate","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",14.2,,
"DEB","Rhineland-Palatinate","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",19.4,,
"DEB","Rhineland-Palatinate","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",6.6,,
"DEC","Saarland","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",12.2,,
"DEC","Saarland","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",17.6,,
"DEC","Saarland","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",10.4,,
"DED","Saxony","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",6.3,,
"DED","Saxony","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",34.7,,
"DED","Saxony","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",18.9,,
"DEE","Saxony-Anhalt","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",6.4,,
"DEE","Saxony-Anhalt","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",27.6,,
"DEE","Saxony-Anhalt","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",15.4,,
"DEF","Schleswig-Holstein","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",11.3,,
"DEF","Schleswig-Holstein","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",22.9,,
"DEF","Schleswig-Holstein","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",9.1,,
"DEG","Thuringia","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",5.9,,
"DEG","Thuringia","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",28.2,,
"GRC","Greece","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",6.4,,
"GRC","Greece","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",1.3,,
"GRC","Greece","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",5.2,,
"GRC","Greece","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",15,,
"GRC","Greece","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",34.5,,
"POL","Poland","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.7,,
"POL","Poland","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.3,,
"POL","Poland","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",0.6,,
"POL","Poland","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",66,,
"PL11","Lodzkie","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.4,,
"PL11","Lodzkie","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",0.2,,
"PL12","Mazovia","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.7,,
"PL12","Mazovia","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.2,,
"PL12","Mazovia","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",0.5,,
"PL12","Mazovia","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",66,,
"PL21","Lesser Poland ","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.3,,
"PL21","Lesser Poland ","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.2,,
"PL22","Silesia","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.4,,
"PL22","Silesia","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.2,,
"PL22","Silesia","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",0.2,,
"PL31","Lublin Province ","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.4,,
"PL31","Lublin Province ","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",0.4,,
"PL32","Podkarpacia","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.4,,
"PL34","Podlasie","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.5,,
"PL41","Greater Poland","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.4,,
"PL41","Greater Poland","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",0.2,,
"PL42","West Pomerania","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",1.5,,
"PL42","West Pomerania","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.6,,
"PL42","West Pomerania","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",1,,
"PL43","Lubusz","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",1.8,,
"PL43","Lubusz","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",1.4,,
"PL51","Lower Silesia ","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",2.1,,
"PL51","Lower Silesia ","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.7,,
"PL51","Lower Silesia ","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",1.5,,
"PL52","Opole region","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",2.4,,
"PL52","Opole region","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",2,,
"PL61","Kuyavian-Pomerania","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.3,,
"PL62","Warmian-Masuria","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.8,,
"PL62","Warmian-Masuria","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.4,,
"PL63","Pomerania","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",0.7,,
"PL63","Pomerania","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.4,,
"PL63","Pomerania","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",0.3,,
"PRT","Portugal","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",6.8,,
"PRT","Portugal","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",1.8,,
"PRT","Portugal","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",5.1,,
"PRT","Portugal","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",29.9,,
"PRT","Portugal","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",14.6,,
"PT11","North","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",4.6,,
"PT11","North","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",1.8,,
"PT11","North","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",2.8,,
"PT11","North","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",31.7,,
"PT11","North","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",13.5,,
"EL30","Attica","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",9.1,,
"EL30","Attica","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",1.7,,
"EL30","Attica","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",7.5,,
"EL30","Attica","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",17.6,,
"EL30","Attica","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",32.7,,
"EL41","North Aegean","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",3.7,,
"EL41","North Aegean","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.8,,
"EL41","North Aegean","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",2.9,,
"EL42","South Aegean","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",8.2,,
"EL42","South Aegean","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",1.2,,
"EL42","South Aegean","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",7,,
"EL42","South Aegean","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",8.8,,
"EL42","South Aegean","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",28.1,,
"EL43","Crete","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",6.3,,
"EL43","Crete","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",2,,
"EL43","Crete","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",4.3,,
"EL43","Crete","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",8.4,,
"EL43","Crete","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",29.7,,
"EL51","Eastern Macedonia, Thrace","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",4.5,,
"EL51","Eastern Macedonia, Thrace","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",1.2,,
"EL51","Eastern Macedonia, Thrace","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",3.3,,
"EL51","Eastern Macedonia, Thrace","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",19.5,,
"EL51","Eastern Macedonia, Thrace","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",39.4,,
"EL52","Central Macedonia","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",5.7,,
"EL52","Central Macedonia","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",1,,
"EL52","Central Macedonia","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",4.6,,
"EL52","Central Macedonia","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",16.9,,
"EL52","Central Macedonia","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",39.2,,
"EL53","Western Macedonia","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",2.6,,
"EL53","Western Macedonia","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.7,,
"EL53","Western Macedonia","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",1.9,,
"EL53","Western Macedonia","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",38.1,,
"EL54","Epirus","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",3.9,,
"EL54","Epirus","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.6,,
"EL54","Epirus","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",3.3,,
"EL54","Epirus","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",42.9,,
"EL61","Thessaly","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",3.5,,
"EL61","Thessaly","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.5,,
"EL61","Thessaly","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",3,,
"EL61","Thessaly","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",13.4,,
"EL61","Thessaly","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",35.5,,
"EL62","Ionian Islands","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",4,,
"EL62","Ionian Islands","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",1,,
"EL62","Ionian Islands","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",3,,
"EL63","Western Greece","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",3.1,,
"EL63","Western Greece","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.5,,
"EL63","Western Greece","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",2.6,,
"EL63","Western Greece","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",14.5,,
"EL63","Western Greece","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",44.3,,
"EL64","Central Greece","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",4.7,,
"EL64","Central Greece","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",0.7,,
"EL64","Central Greece","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",4,,
"EL64","Central Greece","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",6.4,,
"EL64","Central Greece","FB","Foreign-Born","ALL_T_1564UNEMP_RA","Unemployment rate, both sex","2015","2015",24.3,,
"EL65","Peloponnese","FB","Foreign-Born","ALL_T_SH","Share of Foreign-Born Population","2015","2015",6.6,,
"EL65","Peloponnese","FB","Foreign-Born","EU_T_SH","Share of EU Foreign-Born Population","2015","2015",2,,
"EL65","Peloponnese","FB","Foreign-Born","NONEU_T_SH","Share of non-EU Foreign-Born","2015","2015",4.6,,
"EL65","Peloponnese","FB","Foreign-Born","ALL_HEDU_SH","Share of Highly Educated","2015","2015",8.1,,
